"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_std_grasp_times"
"nan","170.6285109370317","77.14179893454094","102.80853903701157","143.0117472394658","123.39764903701248"
"nan","161.96110169277827","39.6290337689467","99.75794514246782","142.0949194443887","110.86075001214536"
"nan","173.60057057154737","113.99936778708843","92.55766409253212","170.87856024949758","137.75904067516637"
"nan","148.40558821930733","50.41933334919719","121.70284850131213","84.79132180812051","101.3297729694843"
"nan","143.94337025573535","59.92932184443725","66.33870872546676","83.99584596298457","88.55181169715598"
"nan","169.5821662531503","45.9966867849761","155.12943904089533","103.05411811521266","118.44060254855859"
"nan","167.74064447689418","25.782118746503816","62.77129427226576","78.56993966925364","83.71599929122935"
"nan","160.50326196513663","35.6854396755695","80.84284502290757","62.8817989160666","84.97833639492008"
"nan","148.02080934787514","40.6709843015779","86.5292925057085","103.1141236047346","94.58380243997402"
"nan","195.18007879364822","35.86347569448462","78.36101247343649","100.80190070372618","102.55161691632388"
"nan","114.05032306169146","62.66058018138738","35.98536142043233","122.52989740294308","83.80654051661355"
"nan","151.85831974364237","65.30535652038589","86.16862687814235","159.2774116004961","115.65242868566668"
"nan","168.32037196681696","157.88435926167892","89.93141988347601","65.0214191342865","120.2893925615646"
"nan","145.95257923248695","36.2831299261982","83.08791001411598","98.86546740475812","91.04727164438982"
"nan","154.82729087599512","47.876302602406476","169.62112733921694","147.22642783356383","129.88778716279558"
"nan","139.92849556458378","47.418751688503","134.98607013479125","248.96972321333186","142.82576015030247"
"nan","165.4991662395132","54.998211819142846","100.57827535648147","307.2712157036516","157.08671727969727"
"nan","159.07767168180968","39.16529557998696","123.92528575426148","202.4753071364506","131.16089003812718"
"nan","223.7024597008054","69.3822050264443","92.82811330997552","229.6227472629967","153.88388132505548"
"nan","185.9809271488824","67.87277691500361","60.244043102573464","217.08139794402774","132.7947862776218"
"nan","174.75166189004707","69.55087265189184","78.5959799432586","133.64151105078028","114.13500638399444"
"nan","167.05924111910136","50.28868612274486","78.39238222810842","172.3655262628657","117.02645893320508"
"nan","165.89999934481222","42.93311370320411","71.74703325998361","127.86763989897261","102.11194655174313"
"nan","196.39383276825959","68.2314883660452","157.6916913336575","69.92469440754964","123.06042671887798"
"nan","235.3249005599055","47.06547280288099","73.778003809766","109.30170339748324","116.36752014250894"
"nan","225.06611726969732","34.711231110656264","121.71653142101947","134.58861677767936","129.0206241447631"
"nan","204.0905940709549","43.67672000557441","88.48396828622776","64.77099204317015","100.25556860148181"
"nan","251.20072093408132","66.03918990398506","99.88695580948846","109.39723799903808","131.63102616164824"
"nan","176.5716794138134","72.47839642761109","85.92199442843325","147.72082635946288","120.67322415733015"
"nan","167.9259332194377","41.887617931688844","135.67602019568656","102.31036787961119","111.94998480660608"
"nan","162.40227830914196","88.07265156689101","120.37191392022773","75.7028151460292","111.63741473557248"
"nan","153.2287233734807","74.31347167157249","131.27512004510658","92.69757459682779","112.87872242174689"
"nan","150.0075775863784","75.27315337520821","135.97351101933322","126.6470162849128","121.97531456645815"
"nan","138.34029433623826","63.72419075023618","73.07970904870841","177.17442079661328","113.07965373294903"
"nan","150.55006725778222","88.22183592793098","136.29900395182963","141.40605787099216","129.11924125213375"
"nan","222.41699943445622","58.44381621420399","91.71161193025587","152.18039228123902","131.18820496503878"
"nan","183.50762278185508","56.62279304874224","115.12336711186141","127.68938285786982","120.73579145008213"
"nan","193.95546830190307","64.8150960636553","121.63913843825104","77.85845994460868","114.56704068710452"
"nan","168.23567794416655","57.829901962355166","152.3778681629401","110.99666327984485","122.36002783732667"
"nan","169.45485716438108","45.52061878429475","118.48349446880127","146.90822182922793","120.09179806167626"
"nan","147.10977436691866","40.19368409358365","163.78641725182976","147.4718843260188","124.6404400095877"
"nan","186.4415928178783","36.929257166144104","91.48657634207136","210.15396736678565","131.25284842321986"
"nan","150.54702188054551","37.35911203485062","92.81820517453815","120.4988045781447","100.30578591701975"
"nan","161.89779872870903","62.289335720794256","96.76473678832741","148.74612599997351","117.42449930945105"
"nan","151.53413256865045","83.39425902917053","85.76815648401606","132.9715209991425","113.41701727024488"
"nan","174.031743136267","104.94148233522678","122.9587798347948","155.41725970877434","139.33731625376572"
"nan","156.168229129595","41.44669694405804","122.55621630030095","193.50106193161054","128.41805107639112"
"nan","151.40699099802796","47.18725078489567","77.63102383756745","60.45031295315562","84.16889464341168"
"nan","241.8881608366585","80.5054814263137","97.3231966973168","156.83748266196426","144.13858040556332"
"nan","210.4851226146524","45.30096488326533","99.95495290798469","134.71844143077985","122.61487045917056"
"nan","181.49580868832365","52.87698014293181","103.04030578072162","116.11434826032992","113.38186071807675"
"nan","164.57927931938013","103.50064721710187","110.65386781101897","263.534541465544","160.56708395326126"
"nan","196.36890602319718","87.19667056882831","85.34029246048657","177.0459181762097","136.48794680718044"
"nan","152.94127293517917","36.793924187871795","80.82461398980502","224.95702707766333","123.87920954762983"
