"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_mean_grasp_times"
"290.8536585365854","nan","nan","137.62790697674419","179.46031746031747","202.647294324549"
"263.80434782608694","nan","nan","146.41975308641975","225.08333333333334","211.76914474861334"
"247.19565217391303","750.0","nan","154.07792207792207","181.38333333333333","333.1642268962921"
"263.4222222222222","nan","nan","139.85882352941175","179.54545454545453","194.2755000990295"
"268.9111111111111","nan","nan","139.20253164556962","169.14754098360655","192.42039458009575"
"252.9795918367347","nan","nan","143.78048780487805","192.16363636363636","196.307905335083"
"272.0444444444444","nan","nan","136.02298850574712","159.4927536231884","189.18672885779333"
"270.5777777777778","nan","nan","138.51764705882354","160.81944444444446","189.97162309368193"
"284.51162790697674","nan","208.0","144.3132530120482","165.234375","200.51481397975624"
"221.2037037037037","nan","nan","153.23076923076923","167.0142857142857","180.4829195495862"
"264.52272727272725","nan","nan","154.43589743589743","162.56666666666666","193.84176379176378"
"278.8863636363636","nan","nan","162.58666666666667","175.01754385964912","205.49685805422646"
"238.45098039215685","nan","nan","157.63768115942028","190.15873015873015","195.4157972367691"
"246.48","nan","nan","144.40963855421685","184.87301587301587","191.9208848090776"
"266.30434782608694","nan","nan","151.20253164556962","176.36764705882354","197.95817551016003"
"210.28301886792454","nan","nan","152.70886075949366","173.57575757575756","178.85587906772525"
"216.82692307692307","nan","nan","162.63513513513513","158.3421052631579","179.2680544917387"
"275.0769230769231","nan","191.0","156.12987012987014","162.69444444444446","196.22530941280942"
"219.8909090909091","nan","186.0","182.87878787878788","164.71830985915494","188.37200170721297"
"262.4130434782609","nan","nan","181.1060606060606","177.8","207.10636802810714"
"245.9795918367347","nan","nan","163.87671232876713","183.26530612244898","197.7072034293169"
"291.6341463414634","nan","nan","158.56578947368422","152.78947368421052","200.99646983311936"
"238.88","nan","nan","147.03703703703704","165.70422535211267","183.87375412971656"
"235.29787234042553","nan","nan","143.3132530120482","155.40579710144928","178.00564081797435"
"229.0943396226415","nan","nan","142.86904761904762","144.5921052631579","172.18516416828234"
"263.72727272727275","nan","nan","142.48192771084337","145.65060240963857","183.95326761591824"
"225.07272727272726","nan","nan","141.9047619047619","149.1153846153846","172.03095793095792"
"248.16","nan","nan","143.57894736842104","152.4264705882353","181.38847265221875"
"279.20454545454544","nan","nan","148.4625","150.7246376811594","192.79722771190163"
"205.57407407407408","nan","nan","153.08860759493672","162.95833333333334","173.87367166744806"
"284.27272727272725","nan","nan","146.34567901234567","168.28125","199.63321876169098"
"199.36666666666667","nan","nan","150.26582278481013","161.3846153846154","170.33903494536403"
"209.09302325581396","nan","nan","168.84285714285716","158.43283582089552","178.78957207318888"
"232.80769230769232","nan","nan","151.873417721519","160.32835820895522","181.6698227460555"
"223.8125","nan","nan","153.28571428571428","176.44262295081967","184.51361241217796"
"206.12820512820514","nan","nan","141.01190476190476","161.93846153846152","169.69285714285715"
"229.38888888888889","nan","nan","148.1875","148.1184210526316","175.23160331384017"
"211.02380952380952","nan","nan","139.10714285714286","166.67123287671234","172.26739508588824"
"222.7173913043478","nan","nan","140.1529411764706","170.61818181818182","177.82950476633343"
"221.64","nan","nan","131.73863636363637","208.74576271186442","187.3747996918336"
"233.81578947368422","713.0","nan","140.32183908045977","136.49411764705883","305.9079365503007"
"252.5","nan","nan","142.07142857142858","181.71212121212122","192.0945165945166"
"207.76315789473685","nan","nan","143.0121951219512","150.87142857142857","167.21559386270556"
"278.1","nan","nan","139.02380952380952","167.22727272727272","194.7836940836941"
"203.9322033898305","nan","nan","138.8953488372093","152.42857142857142","165.0853745518704"
"236.13725490196077","nan","nan","146.1604938271605","150.3846153846154","177.5607880379122"
"240.92857142857142","nan","nan","141.42857142857142","152.97402597402598","178.44372294372295"
"207.66037735849056","nan","nan","142.289156626506","154.57971014492753","168.1764147099747"
"221.54054054054055","nan","nan","135.10227272727272","161.02777777777777","172.55686368186366"
"191.36065573770492","nan","113.0","133.03370786516854","152.5344827586207","147.48221159037354"
"181.03846153846155","nan","nan","136.50574712643677","147.675","155.0730695549661"
"182.1090909090909","nan","681.0","136.26436781609195","152.2987012987013","287.9180400059711"
"193.74468085106383","nan","550.0","136.3448275862069","139.7792207792208","254.96718230412284"
"189.4375","nan","nan","128.27173913043478","156.91304347826087","158.20742753623188"
"192.30434782608697","nan","nan","132.87640449438203","150.94444444444446","158.7083989216378"
"216.6046511627907","nan","nan","140.74117647058824","149.93846153846152","169.09476305728015"
"220.9387755102041","nan","nan","139.22093023255815","138.28985507246378","166.14985360507535"
"182.26666666666668","nan","nan","148.1125","138.86075949367088","156.41330872011255"
