"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"nan","198.20689655172413","301.2692307692308","nan","147.97402597402598","215.81671776499363"
"nan","188.5","255.86046511627907","nan","194.3050847457627","212.88851662068063"
"nan","183.33333333333334","265.5121951219512","nan","191.83870967741936","213.56141271090132"
"nan","193.6078431372549","259.8","nan","185.31147540983608","212.906439515697"
"nan","211.7843137254902","245.04651162790697","nan","187.15873015873015","214.66318517070908"
"nan","207.70833333333334","208.31578947368422","nan","162.90140845070422","192.97517708590726"
"nan","230.82608695652175","265.8536585365854","nan","170.02941176470588","222.23638575260432"
"nan","223.5897435897436","241.94","nan","152.10666666666665","205.87880341880341"
"nan","177.140350877193","207.53333333333333","nan","169.70967741935485","184.79445387662705"
"nan","182.3235294117647","239.94594594594594","nan","201.27118644067798","207.84688726612953"
"nan","267.8666666666667","208.3859649122807","nan","200.21153846153845","225.48805668016198"
"nan","177.65454545454546","247.8181818181818","nan","199.05084745762713","208.17452491011815"
"211.0","207.98245614035088","208.58490566037736","nan","149.94805194805195","194.37885343719506"
"nan","177.1639344262295","202.77272727272728","nan","164.33333333333334","181.42333167743004"
"nan","234.92156862745097","206.82758620689654","nan","172.43939393939394","204.72951625791382"
"nan","195.08928571428572","209.62264150943398","nan","171.86567164179104","192.19253295517024"
"nan","196.98181818181817","181.5","nan","177.34375","185.2751893939394"
"nan","191.5737704918033","190.27118644067798","nan","153.46666666666667","178.43720786638266"
"nan","172.35849056603774","195.24489795918367","nan","222.48076923076923","196.69471925199687"
"nan","251.67441860465115","229.60377358490567","nan","200.96491228070175","227.41436815675286"
"nan","215.7450980392157","184.58333333333334","nan","166.5625","188.9636437908497"
"nan","213.66666666666666","186.5079365079365","nan","177.71875","192.63111772486772"
"nan","196.0754716981132","197.98","nan","218.79245283018867","204.28264150943394"
"nan","188.06349206349208","193.8548387096774","nan","192.5344827586207","191.4842711772634"
"nan","214.45238095238096","196.1764705882353","nan","174.7941176470588","195.14098972922503"
