"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_grasps","Std_over_grasps"
"46.0","0.0","0.0","81.0","48.0","35.0","31.16408188925193"
"46.0","1.0","0.0","77.0","60.0","36.8","31.224349472807273"
"45.0","0.0","0.0","85.0","66.0","39.2","34.417437440925205"
"45.0","0.0","0.0","79.0","61.0","37.0","32.06867630570367"
"49.0","0.0","0.0","82.0","55.0","37.2","32.344396732664535"
"45.0","0.0","0.0","87.0","69.0","40.2","35.425414605901224"
"45.0","0.0","0.0","85.0","72.0","40.4","35.420897786476274"
"43.0","0.0","1.0","83.0","64.0","38.2","33.28302870833722"
"54.0","0.0","0.0","78.0","70.0","40.4","33.879787484575516"
"44.0","0.0","0.0","78.0","60.0","36.4","31.607594024221456"
"44.0","0.0","0.0","75.0","57.0","35.2","30.38025674677553"
"51.0","0.0","0.0","69.0","63.0","36.6","30.440762145517976"
"50.0","0.0","0.0","83.0","63.0","39.2","33.68916739843833"
"46.0","0.0","0.0","79.0","68.0","38.6","33.260186409579845"
"53.0","0.0","0.0","79.0","66.0","39.6","33.36225412048772"
"52.0","0.0","0.0","74.0","76.0","40.4","34.04467652952514"
"39.0","0.0","1.0","77.0","72.0","37.8","33.138497250177174"
"55.0","0.0","2.0","66.0","71.0","38.8","31.301118190888964"
"46.0","0.0","0.0","66.0","60.0","34.4","28.8277643947636"
"49.0","0.0","0.0","73.0","49.0","34.2","29.267046314925597"
"41.0","0.0","0.0","76.0","76.0","38.6","34.00941046239996"
"50.0","0.0","0.0","81.0","71.0","40.4","34.47085725652903"
"47.0","0.0","0.0","83.0","69.0","39.8","34.46389415025528"
"53.0","0.0","0.0","84.0","76.0","42.6","36.24141277599426"
"44.0","0.0","0.0","83.0","83.0","42.0","37.13219627223793"
"55.0","0.0","0.0","84.0","78.0","43.4","36.73472471654034"
"50.0","0.0","0.0","76.0","68.0","38.8","32.7804819976766"
"44.0","0.0","0.0","80.0","69.0","38.6","33.607142098071954"
"54.0","0.0","0.0","79.0","72.0","41.0","34.45576874777285"
"33.0","0.0","0.0","81.0","64.0","35.6","32.89133624527894"
"30.0","0.0","0.0","79.0","65.0","34.8","32.59079624679336"
"43.0","0.0","0.0","70.0","67.0","36.0","30.848014522818158"
"26.0","0.0","0.0","79.0","67.0","34.4","33.13366867704209"
"32.0","0.0","0.0","77.0","61.0","34.0","31.285779517218362"
"39.0","0.0","0.0","84.0","65.0","37.6","33.86207317929604"
"36.0","0.0","0.0","80.0","76.0","38.4","34.92620792470892"
"42.0","0.0","0.0","84.0","73.0","39.8","35.295325469529246"
"46.0","0.0","0.0","85.0","55.0","37.2","33.00545409474016"
"50.0","0.0","0.0","88.0","59.0","39.4","34.534620310639"
"38.0","1.0","0.0","87.0","85.0","42.2","38.300913827218274"
"36.0","0.0","0.0","84.0","66.0","37.2","34.02587250901878"
"38.0","0.0","0.0","82.0","70.0","38.0","34.199415199678484"
"40.0","0.0","0.0","84.0","66.0","38.0","34.035275817892234"
